Date : 2022-04-20 17:15:33
Directory : c:\Users\me\Desktop\React\learning_projects\productivity-app\src
Total : 70 files,  2243 codes, 15 comments, 273 blanks, all 2531 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         69 |      2,124 |         12 |        241 |      2,377 |
| CSS        |          1 |        119 |          3 |         32 |        154 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |         70 |      2,243 |         15 |        273 |      2,531 |
| hooks                                                                                                                                   |          2 |         35 |          0 |          7 |         42 |
| pages                                                                                                                                   |         59 |      1,879 |         11 |        201 |      2,091 |
| pages\auth                                                                                                                              |          2 |        110 |          0 |          9 |        119 |
| pages\boards                                                                                                                            |          1 |          7 |          0 |          2 |          9 |
| pages\components                                                                                                                        |         28 |      1,048 |          3 |         96 |      1,147 |
| pages\components\PageLayout                                                                                                             |          9 |        393 |          0 |         35 |        428 |
| pages\components\PageLayout\sidebar                                                                                                     |          7 |        332 |          0 |         27 |        359 |
| pages\components\PageLayout\sidebar\components                                                                                          |          6 |        312 |          0 |         24 |        336 |
| pages\components\TasksList                                                                                                              |         14 |        492 |          3 |         43 |        538 |
| pages\components\TasksList\add-task                                                                                                     |          5 |        203 |          0 |         15 |        218 |
| pages\components\TasksList\add-task\components                                                                                          |          3 |         70 |          0 |          9 |         79 |
| pages\components\TasksList\task                                                                                                         |          8 |        211 |          0 |         23 |        234 |
| pages\components\TasksList\task\components                                                                                              |          7 |         99 |          0 |         16 |        115 |
| pages\components\TasksList\task\components\buttons                                                                                      |          6 |         59 |          0 |         14 |         73 |
| pages\dashboard                                                                                                                         |          1 |         17 |          0 |          3 |         20 |
| pages\goals                                                                                                                             |          1 |         10 |          0 |          2 |         12 |
| pages\home                                                                                                                              |          2 |         50 |          0 |          4 |         54 |
| pages\home\components                                                                                                                   |          1 |         23 |          0 |          2 |         25 |
| pages\mindmaps                                                                                                                          |          1 |         10 |          0 |          2 |         12 |
| pages\plans                                                                                                                             |         13 |        379 |          7 |         51 |        437 |
| pages\plans\components                                                                                                                  |         11 |        341 |          7 |         45 |        393 |
| pages\plans\components\add-task                                                                                                         |          3 |        116 |          7 |         13 |        136 |
